seed,test_accuracy,macro_f1,open_world_rejection_pct
0,0.7137931034482758,0.7223609549599422,87.2
1,0.7413793103448276,0.7550248155910441,87.6
2,0.7103448275862069,0.7164847097507203,87.2
3,0.7068965517241379,0.7168184032070736,83.6
4,0.7034482758620689,0.7099821882304258,77.2
